Global North,Global South
Andorra,Algeria
Australia,Angola
Austria,Argentina
Belgium,Aruba
Canada,Azerbaijan
Czechia,"Bahamas, The"
Denmark,Bangladesh
Estonia,Barbados
Finland,Benin
France,Bosnia and Herzegovina
Germany,Brunei Darussalam
Greece,Brazil
Hungary,Bulgaria
Iceland,Cambodia
Ireland,Cameroon
Israel,Cabo Verde
Italy,Chile
Japan,China
"Korea, Rep.",Colombia
Kuwait,Comoros
Latvia,Costa Rica
Lithuania,Cote d'Ivoire
Liechtenstein,Croatia
Luxembourg,Cuba
Malta,Cyprus
Monaco,Djibouti
Netherlands,Dominica
New Zealand,Dominican Republic
Norway,"Egypt, Arab Rep."
Oman,El Salvador
Poland,Equatorial Guinea
Portugal,Eritrea
Poland,Fiji
Portugal,Gabon
San Marino,"Gambia, The"
Singapore,Ghana
Slovenia,Guatemala
Spain,India
Sweden,Indonesia
Switzerland,"Iran, Islamic Rep."
Taiwan,Iraq
United Arab Emirates,Kenya
United Kingdom,Madagascar
United States,Mozambique
,Myanmar
,Nauru
,Nicaragua
,Panama
,Philippines
,Puerto Rico (US)
,Qatar
,Seychelles
,Sri Lanka
,Thailand
,Viet Nam
,"Yemen, Rep."
