Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,True,True,True,True,True,True,True,True,True,True,True,True,True
Afghanistan,True,True,True,True,True,True,True,True,True,True,True,True,True
Africa Western and Central,True,True,True,True,True,True,True,True,True,True,True,True,True
Angola,True,True,True,True,True,True,True,True,True,True,True,True,True
Albania,True,True,True,True,True,True,True,True,True,True,True,True,True
Andorra,True,True,True,True,True,True,True,True,True,True,True,True,True
Arab World,True,True,True,True,True,True,True,True,True,True,True,True,True
United Arab Emirates,True,True,True,True,True,True,True,True,True,True,True,True,True
Argentina,True,True,True,True,True,True,True,True,True,True,True,True,True
Armenia,True,True,True,True,True,True,True,True,True,True,True,True,True
Antigua and Barbuda,True,True,True,True,True,True,True,True,True,True,True,True,True
Australia,True,True,True,True,True,True,True,True,True,True,True,True,True
Austria,True,True,True,True,True,True,True,True,True,True,True,True,True
Azerbaijan,True,True,True,True,True,True,True,True,True,True,True,True,True
Burundi,True,True,True,True,True,True,True,True,True,True,True,True,True
Belgium,True,True,True,True,True,True,True,True,True,True,True,True,True
Benin,True,True,True,True,True,True,True,True,True,True,True,True,True
Burkina Faso,True,True,True,True,True,True,True,True,True,True,True,True,True
Bangladesh,True,True,True,True,True,True,True,True,True,True,True,True,True
Bulgaria,True,True,True,True,True,True,True,True,True,True,True,True,True
Bahrain,True,True,True,True,True,True,True,True,True,True,True,True,True
"Bahamas, The",True,True,True,True,True,True,True,True,True,True,True,True,True
Bosnia and Herzegovina,True,True,True,True,True,True,True,True,True,True,True,True,True
Belarus,True,True,True,True,True,True,True,True,True,True,True,True,True
Belize,True,True,True,True,True,True,True,True,True,True,True,True,True
Bolivia,True,True,True,True,True,True,True,True,True,True,True,True,True
Brazil,True,True,True,True,True,True,True,True,True,True,True,True,True
Barbados,True,True,True,True,True,True,True,True,True,True,True,True,True
Brunei Darussalam,True,True,True,True,True,True,True,True,True,True,True,True,True
Bhutan,True,True,True,True,True,True,True,True,True,True,True,True,True
Botswana,True,True,True,True,True,True,True,True,True,True,True,True,True
Central African Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Canada,True,True,True,True,True,True,True,True,True,True,True,True,True
Central Europe and the Baltics,True,True,True,True,True,True,True,True,True,True,True,True,True
Switzerland,True,True,True,True,True,True,True,True,True,True,True,True,True
Chile,True,True,True,True,True,True,True,True,True,True,True,True,True
China,True,True,True,True,True,True,True,True,True,True,True,True,True
Cote d'Ivoire,True,True,True,True,True,True,True,True,True,True,True,True,True
Cameroon,True,True,True,True,True,True,True,True,True,True,True,True,True
"Congo, Dem. Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
"Congo, Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
Colombia,True,True,True,True,True,True,True,True,True,True,True,True,True
Comoros,True,True,True,True,True,True,True,True,True,True,True,True,True
Cabo Verde,True,True,True,True,True,True,True,True,True,True,True,True,True
Costa Rica,True,True,True,True,True,True,True,True,True,True,True,True,True
Caribbean small states,True,True,True,True,True,True,True,True,True,True,True,True,True
Cyprus,True,True,True,True,True,True,True,True,True,True,True,True,True
Czechia,True,True,True,True,True,True,True,True,True,True,True,True,True
