Country,Region,Year,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Liechtenstein,Global North,2010,,,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Aruba,Global South,2010,,,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
Puerto Rico (US),Global South,2010,,,Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Cuba,Cuba
Liechtenstein,Global North,2011,,,,,,,,,,,,,,Puerto Rico (US),Puerto Rico (US)
Aruba,Global South,2011,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2011,,,,,,,,,,,,,,,
Liechtenstein,Global North,2012,,,,,,,,,,,,,,,
Aruba,Global South,2012,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2012,,,,,,,,,,,,,,,
Liechtenstein,Global North,2013,,,,,,,,,,,,,,,
Aruba,Global South,2013,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2013,,,,,,,,,,,,,,,
Liechtenstein,Global North,2014,,,,,,,,,,,,,,,
Aruba,Global South,2014,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2014,,,,,,,,,,,,,,,
Liechtenstein,Global North,2015,,,,,,,,,,,,,,,
Aruba,Global South,2015,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2015,,,,,,,,,,,,,,,
Liechtenstein,Global North,2016,,,,,,,,,,,,,,,
Aruba,Global South,2016,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2016,,,,,,,,,,,,,,,
Liechtenstein,Global North,2017,,,,,,,,,,,,,,,
Aruba,Global South,2017,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2017,,,,,,,,,,,,,,,
Liechtenstein,Global North,2018,,,,,,,,,,,,,,,
Aruba,Global South,2018,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2018,,,,,,,,,,,,,,,
Liechtenstein,Global North,2019,,,,,,,,,,,,,,,
Aruba,Global South,2019,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2019,,,,,,,,,,,,,,,
Liechtenstein,Global North,2020,,,,,,,,,,,,,,,
Aruba,Global South,2020,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2020,,,,,,,,,,,,,,,
Liechtenstein,Global North,2021,,,,,,,,,,,,,,,
Aruba,Global South,2021,,,,,,,,,,,,,,,
Cuba,Global South,2021,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2021,,,,,,,,,,,,,,,
Liechtenstein,Global North,2022,,,,,,,,,,,,,,,
Aruba,Global South,2022,,,,,,,,,,,,,,,
Cuba,Global South,2022,,,,,,,,,,,,,,,
Puerto Rico (US),Global South,2022,,,,,,,,,,,,,,,
