Country Name,Year,Mortality rate under-5,GDP per capita,Population density (people per sq. km of land area),Income classification,log_gdp_per_capita,log_population_density,log_mortality_rate_under_5,log_reflected_secondary_education,log_reflected_dpt3_immunization,logit_water_services,sqrt_health_expenditure,boxcox_mortality,Income_High
Afghanistan,2000,131.7,1617.82647494969,30.8638471091486,Low,-2.2308179472494825,-0.856782887833934,4.888090941338162,6.024520352180038,2.683084096446168,-1.5514855868636699,1.2213844555940283,1.7589489747013307,False
Afghanistan,2001,127.4,1454.11078195559,31.099929472732,Low,-2.3278307291823923,-0.8503207887784385,4.855150391255861,6.024520352180038,2.5452233793596633,-1.5510395968367134,1.2213844555940283,1.743293503842518,False
Afghanistan,2002,123.1,1774.30874287341,32.77696058139,Low,-2.146859095777497,-0.8057403780975425,4.821087692210561,5.20986006299967,2.495179535198341,-1.518356460198332,1.0655458673860623,1.7269701897860301,False
Afghanistan,2003,118.7,1815.92819979586,34.8543443263879,Low,-2.125774106927895,-0.7534907398922577,4.784988612563928,4.153918282880967,2.406402803232758,-1.4877409966965904,0.8992785563723683,1.7095193741324177,False
Afghanistan,2004,114.2,1776.91820712187,36.1232295355933,Low,-2.1455226510874352,-0.7230455367087913,4.746669748261791,4.892872342475632,2.226150287260869,-1.4586928038418663,1.18367314797066,1.6908219021087734,False
Afghanistan,2005,109.7,1908.11478234587,37.4171181945019,Low,-2.0807410943713918,-0.6930537322735274,4.706823839714591,4.260920491082926,2.036906616822954,-1.4310182774791291,1.2283286934340025,1.6711863691238829,False
Afghanistan,2006,105.1,1929.72389709372,38.9802584977692,Low,-2.070499888666257,-0.6581400075475435,4.664382045619937,4.056607681883699,2.036906616822954,-1.4047479509495289,1.4394697953948128,1.6500511725593447,False
Afghanistan,2007,100.7,2155.35306784413,39.7250233813225,Low,-1.9699349217085347,-0.6419825972739945,4.622027303054514,3.987968613056966,1.899804270399813,-1.3797128190664865,1.2144325857598484,1.6287281597340242,False
Afghanistan,2008,96.3,2191.50435559062,40.6031951918802,Low,-1.9548069356934443,-0.6233063576355706,4.577798989191959,3.7068903511304794,1.8702260628151672,-1.3557775606403866,1.3256713464090388,1.606210367734187,False
Afghanistan,2009,92.2,2565.02208584099,42.1110666482682,Low,-1.8116687251411197,-0.5921392965482782,4.534747721691546,3.394432506296203,1.899804270399813,-1.332824320406318,1.1868819183225086,1.5840398617182379,False
Afghanistan,2010,88.3,2848.58606111495,43.3652070588596,Low,-1.7162961093843982,-0.5670361687168717,4.492001487882454,3.3002789168312816,1.8085925933246165,-1.3107523700040267,0.7732102558934136,1.561775297569391,False
Afghanistan,2011,84.6,2757.05258747725,44.9959492816951,Low,-1.7460032606272056,-0.5354357466350403,4.449685283147696,2.973932222803468,1.7433315914034653,-1.2894722403518681,0.7705473563555685,1.5394830457763051,False
Afghanistan,2012,81.2,2985.31914452845,46.8546892967205,Low,-1.6736511825268552,-0.5007556417598054,4.409155302062135,2.9495128115810028,1.776442021884241,-1.2689113766822262,0.5378920862058459,1.5178921294799859,False
Afghanistan,2013,78.0,3046.57993117128,48.4839765113534,Low,-1.6551745867184635,-0.47144704564195394,4.3694478524670215,2.9763368591573682,1.8702260628151672,-1.2490038096598357,0.8536861894638442,1.496507336094341,False
