Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.68641555,37.78677238,34.96710841,50.21832091,61.78052217,68.61597411,75.06469054,84.09118789,86.47887703,90.14306945,104.119647,112.2783817,109.0685562,104.7767173,98.49932875,90.80057087,85.89921738,90.01315049,90.07565325,87.29824614,81.55189502,92.38657488,92.58152097,,,,Complete,230
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70697403,17.74602509,21.42300415,25.11388779,28.9412632,32.70893097,39.88624954,43.13351822,46.42438889,52.18721771,52.45247269,56.16043472,60.04951096,59.91960526,61.37234497,66.82388306,71.22509003,74.0642395,80.0892334,81.52112579,80.6516037,,,,Incomplete,
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19985058,18.76918062,19.7668742,31.36837674,35.87208256,41.5461069,48.37221071,52.62529132,60.36555196,55.56556135,59.63198718,65.36715007,67.9295613,75.42266559,78.72483058,70.66991392,61.44808881,58.22151491,56.12426456,59.06952771,64.40742275,72.24109467,74.42135122,,,,Complete,
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15998554,29.26095772,29.37077141,35.2206955,50.23310852,54.66142273,70.28185272,93.42698669,136.3409424,120.5289917,96.95197296,122.1188812,121.8484802,142.7845001,130.5861969,107.5285721,94.01481628,112.7536469,84.03104401,64.61397552,55.93916321,67.04656982,101.2561417,,,,Complete,
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47674561,73.92171478,78.72909546,105.436676,136.5072479,149.9751587,164.2209015,209.3191071,237.1034088,236.9424439,253.9824677,273.7529297,260.683197,276.0765686,293.1267395,253.9334717,275.4367676,295.523468,349.2112732,366.3401489,396.1747742,465.5704346,414.3502502,,,,Complete,
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.085083,1376.144287,1583.211182,1885.527466,2059.918213,2283.442871,2156.344238,2376.661621,2774.926025,2663.374023,3277.785156,3550.908203,2785.188965,2887.025879,3001.196045,2672.264648,2769.152832,2876.178711,3158.136475,3021.432617,3282.817383,3535.989746,3192.315674,3654.074707,,,Complete,
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8454722,114.5274553,113.3214869,109.5073911,120.1936996,133.7035948,153.2363585,179.2182059,210.9289647,227.0323095,234.4211371,266.617777,294.8602628,303.4395774,325.2969695,310.1976615,309.7398066,304.305537,320.7383351,323.3266475,325.6361724,334.396706,329.9536833,,,,Complete,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0311279,689.2927856,754.262207,784.8934326,821.7492065,898.3648071,1031.149048,1176.493286,1465.824463,1531.022095,1619.988647,1787.599976,1711.385254,1789.685791,1776.731079,1479.497437,1592.919067,1695.203125,1872.584229,1962.467285,2154.411133,2249.963135,2314.745117,,,,Complete,
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.2330933,668.7930908,221.8025513,259.9902039,309.0441589,389.3466797,451.9761658,567.2874756,740.1410523,778.515564,975.6599121,1196.514648,1355.228516,1408.756348,1274.661255,1517.337891,1251.656128,1486.928711,1209.535767,1011.080139,891.9962158,1080.88208,1370.884644,,,,Complete,
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6606369,31.90725899,59.20983887,66.31577301,71.65074158,95.55095673,124.8989563,170.1533203,261.5996399,247.9064179,291.7775879,325.290863,331.9137878,392.8525391,404.3387451,365.5195007,359.5822754,409.8014526,428.3457031,533.6995239,535.2723999,595.8354492,674.7861939,,,,Complete,
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.1221314,572.2077637,559.083313,613.6511231,597.7490234,641.3157959,665.1156006,714.2749634,694.0334473,609.5039063,724.0888062,717.2818604,753.5018311,739.1049194,826.7559815,789.3097534,817.888916,791.12323,856.3712769,808.1499634,883.5001831,843.4654541,1084.883301,,,,Complete,
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.733887,1550.373901,1752.938965,2227.127686,2744.081055,2995.872559,3174.868652,3792.809814,4083.429443,3989.441162,4947.963379,5876.885254,6038.871582,5811.868652,6098.254395,5294.572266,5423.82666,5780.537109,5830.101563,5529.194824,5952.890625,7039.577637,6730.995117,,,,Complete,
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.126465,2282.515625,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.82373,4709.875977,4938.92041,5337.218262,5263.390625,5531.023438,6520.490723,5851.962402,6208.644531,,,Complete,
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64016533,19.19010162,20.45606041,23.62244987,27.1906395,34.35204697,49.87102127,74.65649414,111.8842773,135.4012756,153.0665741,184.9349365,234.603241,251.6786346,280.2231445,236.2597961,169.6959686,167.0156555,180.0361023,199.2574616,245.2194977,250.9887085,304.2016296,,,,Complete,
Burundi,BDI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67927122,7.50815582,6.46998882,5.87316799,8.88248062,11.13118172,14.10514736,15.26294613,14.67025566,18.31996346,24.45114708,23.16802216,20.01195908,20.26322556,18.06601143,17.67567825,18.59472847,19.16801643,18.67819214,22.24477386,26.21934319,23.21740532,24.68718529,,,,Complete,
