Country Name,Year,People using safely managed drinking water services percentage
Afghanistan,2000,11.0933263091436
Africa Western and Central,2000,13.4995459767434
Albania,2000,49.1383205634209
Andorra,2000,90.6399995135019
Armenia,2000,82.3507193495398
American Samoa,2000,80.5751923051814
Austria,2000,96.7192347699695
Azerbaijan,2000,57.7485547835283
Belgium,2000,99.631347181465
Bangladesh,2000,55.3187008304757
Bulgaria,2000,89.6637320953902
Bahrain,2000,98.8819797328263
Bosnia and Herzegovina,2000,87.3499798958305
Belarus,2000,81.8127073395731
Brazil,2000,76.0321004143178
Bhutan,2000,22.2928074804762
Central African Republic,2000,8.53086470231477
Canada,2000,98.1667393679828
Switzerland,2000,96.6999994609098
Chile,2000,92.0930265397315
Cote d'Ivoire,2000,23.086655423663
"Congo, Dem. Rep.",2000,12.2123267805683
"Congo, Rep.",2000,27.4222910128842
Colombia,2000,68.5495180186544
Costa Rica,2000,76.4062353813744
Cyprus,2000,95.8530718305109
Czechia,2000,96.321859781025
Germany,2000,99.8428993419985
Denmark,2000,94.0215446976654
Dominican Republic,2000,41.9590718272735
Algeria,2000,70.078517334717
East Asia & Pacific,2000,68.0339609456741
Europe & Central Asia (excluding high income),2000,63.2358569780777
Europe & Central Asia,2000,86.2993545165705
Ecuador,2000,58.2030485527504
Euro area,2000,96.8053649644482
Spain,2000,99.3520037621673
Estonia,2000,91.681879044361
Ethiopia,2000,5.04384634705735
European Union,2000,95.5289096335526
Fragile and conflict affected situations,2000,22.5935703770946
Finland,2000,93.8103303366407
Fiji,2000,39.2330504255448
France,2000,97.3558772533212
United Kingdom,2000,100.0
Georgia,2000,64.1165938183258
Ghana,2000,12.096287575298
Gibraltar,2000,100.0
"Gambia, The",2000,21.7690000433547
Guinea-Bissau,2000,17.7746548773826
Greece,2000,99.152389505601
Grenada,2000,78.7187250849416
Guatemala,2000,46.818888047931
Guam,2000,98.7664731932
High income,2000,91.9993144600989
"Hong Kong SAR, China",2000,98.1242792190761
Honduras,2000,41.6014174635753
Croatia,2000,85.1164078355147
Hungary,2000,86.6312500738054
IDA total,2000,25.7273131732461
IDA blend,2000,27.1223889951996
Indonesia,2000,23.5418444315928
IDA only,2000,24.8577541980604
Ireland,2000,64.4293757984351
"Iran, Islamic Rep.",2000,90.3409728053685
Iraq,2000,50.2409378584154
Iceland,2000,90.1556092625198
Israel,2000,99.7719862797139
Italy,2000,94.7683796202225
Jordan,2000,53.4944669728529
Japan,2000,97.8542425565956
Kazakhstan,2000,63.1020848734293
Kyrgyz Republic,2000,45.6597813832974
Cambodia,2000,16.9631343944074
Kiribati,2000,10.1691429065402
Kuwait,2000,100.0
Latin America & Caribbean (excluding high income),2000,60.365330597135
Lao PDR,2000,4.87754305327517
Lebanon,2000,43.479099332381
Latin America & Caribbean,2000,71.0116632483911
Least developed countries: UN classification,2000,23.7502111526186
Low income,2000,18.9106836444808
Liechtenstein,2000,100.0
Sri Lanka,2000,44.690599746669
Lower middle income,2000,44.0999772567298
Low & middle income,2000,53.1973200673216
Lesotho,2000,8.85261668155209
Lithuania,2000,68.3819500235136
Luxembourg,2000,99.831567625032
Latvia,2000,92.3844513667817
"Macao SAR, China",2000,99.971207177814
St. Martin (French part),2000,96.7
Morocco,2000,41.5165660778488
Monaco,2000,100.0
Moldova,2000,40.3532833936746
Madagascar,2000,6.93422792661854
"Middle East, North Africa, Afghanistan & Pakistan",2000,72.3292595807713
Mexico,2000,39.5926569181504
North Macedonia,2000,80.4744443822639
Malta,2000,99.999999495466
Myanmar,2000,27.5142565951058
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2000,50.5831289713948
Mongolia,2000,18.2558746064024
Northern Mariana Islands,2000,82.0275458789739
Malawi,2000,6.93072328132276
Malaysia,2000,92.5773021033919
New Caledonia,2000,87.0439625056997
Nigeria,2000,12.6008086269673
Nicaragua,2000,47.8490215460833
Netherlands,2000,99.993870446793
Norway,2000,99.9088286315859
Nepal,2000,26.7410655283817
New Zealand,2000,84.3935712361748
Oman,2000,83.8983268694245
Pakistan,2000,34.8270420774854
Peru,2000,44.8984082273486
Philippines,2000,40.574426909416
Palau,2000,65.4309215500884
Puerto Rico (US),2000,75.1319512677845
"Korea, Dem. People's Rep.",2000,68.9994701532214
Portugal,2000,93.6589395549153
Paraguay,2000,49.8363406977831
West Bank and Gaza,2000,73.1364491194853
French Polynesia,2000,92.0288109457637
Qatar,2000,96.3402204469615
Romania,2000,81.6520248035213
Russian Federation,2000,74.7442777090824
Senegal,2000,20.0295699247872
Singapore,2000,100.0
Sierra Leone,2000,5.19329287898916
San Marino,2000,100.0
Serbia,2000,74.3419486861712
Sub-Saharan Africa,2000,17.2442910373428
Sao Tome and Principe,2000,25.763306991646
