"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","",
"Africa Eastern and Southern","AFE","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2249577685358","","61.4068055252338","","60.3020618888339","","59.7368516636814","","58.900209205313","","58.0815813959072","","57.2182143287021","","56.3614909794462","","55.5067915320135","","55.0743332711032","","54.6783936489693","","57.047184983302","","",
"Afghanistan","AFG","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.6","","63.6","","64.80761","","67.24795","","69.68829","","72.12863","","73.3","","73.3","","71.58904","","",
"Africa Western and Central","AFW","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2648848333437","","69.0224884500819","","66.58591827105","","64.05889141725","","61.5581645429543","","58.9930156029489","","56.4257469133284","","53.851319939696","","51.2842627913565","","49.0797008790995","","47.0889308158865","","51.2354204000656","","",
"Angola","AGO","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7","","19.7","","19.66039","","25.79191","","31.92344","","38.05496","","44.18648","","50.31801","","56.44953","","62.58105","","62.6","","62.7","","",
"Albania","ALB","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","","25.5","","23","","20.5","","17.9","","15.4","","12.9","","10.3","","7.8","","5.3","","2.8","","2.7","","",
"Andorra","AND","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","",
"Arab World","ARB","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7253459640636","","43.419093543912","","41.2550804524809","","36.5255724105933","","33.4522151494013","","30.7864640001183","","27.5041156568181","","24.1319045295516","","22.8908154915966","","22.5973913297001","","22.9176423426598","","21.9763246707865","","",
"United Arab Emirates","ARE","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7025","","0.95","","0.95","","0.95","","0.8","","0.65","","0.5","","0.4","","0.25","","0.1","","0.2265","","0.11325","","",
"Argentina","ARG","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.29188","","19.56624","","18.84059","","18.11494","","17.3893","","16.66365","","15.93801","","15.2","","14.5","","14.5","","14.5","","14.5","","",
"Armenia","ARM","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.79599","","12.30696","","11.81793","","11.3289","","10.83987","","10.35084","","9.86181","","9.37278","","8.88375","","8.39472","","8.39472","","8.39472","","",
